Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
244,Star Sport,Local,3,13,30,92.5,Victor,3,Caliber,Local,3,10
245,Star Sport,Local,4,13,30,92.5,Victor,4,Caliber,Local,4,10
246,Star Sport,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
247,Star Sport,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
248,Star Sport,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
249,Star Sport,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
250,Star Sport,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
251,Star Sport,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
252,Star Sport,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
253,Star Sport,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
254,Star Sport,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
255,Star Sport,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
256,Star Sport,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
257,Star Sport ++,Local,STD,13,30,92.5,Victor,STD,Caliber,Local,STD,10
258,Star Sport ++,Local,1,13,30,92.5,Victor,1,Caliber,Local,1,10
259,Star Sport ++,Local,2,13,30,92.5,Victor,2,Caliber,Local,2,10
260,Star Sport ++,Local,3,13,30,92.5,Victor,3,Caliber,Local,3,10
261,Star Sport ++,Local,4,13,30,92.5,Victor,4,Caliber,Local,4,10
262,Star Sport ++,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
263,Star Sport ++,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
264,Star Sport ++,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
265,Star Sport ++,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
266,Star Sport ++,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
267,Star Sport ++,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
268,Star Sport ++,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
269,Star Sport ++,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
270,Star Sport ++,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
271,Star Sport ++,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
272,Star Sport ++,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
273,Star City ++,Local,STD,13,30,92.5,Victor,STD,Caliber,Local,STD,10
274,Star City ++,Local,1,13,30,92.5,Victor,1,Caliber,Local,1,10
275,Star City ++,Local,2,13,30,92.5,Victor,2,Caliber,Local,2,10
276,Star City ++,Local,3,13,30,92.5,Victor,3,Caliber,Local,3,10
277,Star City ++,Local,4,13,30,92.5,Victor,4,Caliber,Local,4,10
278,Star City ++,Local,5,13,30,92.5,Victor,5,Caliber,Local,5,10
279,Star City ++,Local,6,13,30,92.5,Victor,6,Caliber,Local,6,10
280,Star City ++,Local,7,13,30,92.5,Victor,7,Caliber,Local,7,10
281,Star City ++,STD,STD,13,30,92.5,Victor,STD,Caliber,STD,STD,10
282,Star City ++,STD,1,13,30,92.5,Victor,1,Caliber,STD,1,10
283,Star City ++,STD,2,13,30,92.5,Victor,2,Caliber,STD,2,10
284,Star City ++,STD,3,13,30,92.5,Victor,3,Caliber,STD,3,10
285,Star City ++,STD,4,13,30,92.5,Victor,4,Caliber,STD,4,10
286,Star City ++,STD,5,13,30,92.5,Victor,5,Caliber,STD,5,10
287,Star City ++,STD,6,13,30,92.5,Victor,6,Caliber,STD,6,10
288,Star City ++,STD,7,13,30,92.5,Victor,7,Caliber,STD,7,10
289,Wego / Jupiter,Local,STD,13,30,92.5,Wego,STD,Caliber,Local,STD,10
290,Wego / Jupiter,Local,1,13,30,92.5,Wego,1,Caliber,Local,1,10
291,Wego / Jupiter,Local,2,13,30,92.5,Wego,2,Caliber,Local,2,10
292,Wego / Jupiter,Local,3,13,30,92.5,Wego,3,Caliber,Local,3,10
293,Wego / Jupiter,Local,4,13,30,92.5,Wego,4,Caliber,Local,4,10
294,Wego / Jupiter,Local,5,13,30,92.5,Wego,5,Caliber,Local,5,10
295,Wego / Jupiter,Local,6,13,30,92.5,Wego,6,Caliber,Local,6,10
296,Wego / Jupiter,Local,7,13,30,92.5,Wego,7,Caliber,Local,7,10
297,Wego / Jupiter,STD,STD,13,30,92.5,Wego,STD,Caliber,STD,STD,10
298,Wego / Jupiter,STD,1,13,30,92.5,Wego,1,Caliber,STD,1,10
299,Wego / Jupiter,STD,2,13,30,92.5,Wego,2,Caliber,STD,2,10
300,Wego / Jupiter,STD,3,13,30,92.5,Wego,3,Caliber,STD,3,10
301,Wego / Jupiter,STD,4,13,30,92.5,Wego,4,Caliber,STD,4,10
302,Wego / Jupiter,STD,5,13,30,92.5,Wego,5,Caliber,STD,5,10
303,Wego / Jupiter,STD,6,13,30,92.5,Wego,6,Caliber,STD,6,10
304,Wego / Jupiter,STD,7,13,30,92.5,Wego,7,Caliber,STD,7,10
305,XL - 100,Local,STD,13,30,92.5,XL - 100,STD,Caliber,Local,STD,10
306,XL - 100,Local,1,13,30,92.5,XL - 100,1,Caliber,Local,1,10
307,XL - 100,Local,2,13,30,92.5,XL - 100,2,Caliber,Local,2,10
308,XL - 100,Local,3,13,30,92.5,XL - 100,3,Caliber,Local,3,10
309,XL - 100,Local,4,13,30,92.5,XL - 100,4,Caliber,Local,4,10
310,XL - 100,Local,5,13,30,92.5,XL - 100,5,Caliber,Local,5,10
311,XL - 100,Local,6,13,30,92.5,XL - 100,6,Caliber,Local,6,10
312,XL - 100,Local,7,13,30,92.5,XL - 100,7,Caliber,Local,7,10
313,XL - 100,STD,STD,13,30,92.5,XL - 100,STD,Caliber,STD,STD,10
314,XL - 100,STD,1,13,30,92.5,XL - 100,1,Caliber,STD,1,10
315,XL - 100,STD,2,13,30,92.5,XL - 100,2,Caliber,STD,2,10
316,XL - 100,STD,3,13,30,92.5,XL - 100,3,Caliber,STD,3,10
317,XL - 100,STD,4,13,30,92.5,XL - 100,4,Caliber,STD,4,10
318,XL - 100,STD,5,13,30,92.5,XL - 100,5,Caliber,STD,5,10
319,XL - 100,STD,6,13,30,92.5,XL - 100,6,Caliber,STD,6,10
320,XL - 100,STD,7,13,30,92.5,XL - 100,7,Caliber,STD,7,10
321,Activa - HET,Local,STD,13,30,92.5,HET,STD,HET,Local,STD,10
322,Activa - HET,Local,1,13,30,92.5,HET,1,HET,Local,1,10
323,Activa - HET,Local,2,13,30,92.5,HET,2,HET,Local,2,10
324,Activa - HET,Local,3,13,30,92.5,HET,3,HET,Local,3,10
325,Activa - HET,Local,4,13,30,92.5,HET,4,HET,Local,4,10
326,Activa - HET,Local,5,13,30,92.5,HET,5,HET,Local,5,10
327,Activa - HET,Local,6,13,30,92.5,HET,6,HET,Local,6,10
