Serial Number,Conrod Name,Conrod Variant,Conrod Size,Small End Diameter,Big End Diameter,Center Distance,Pin Name,Pin Size,Ball Bearing Name,Ball Bearing Variant,Ball Bearing Size,Amount
176,Caliber,NRB,7,,,,Caliber,7,Caliber,NRB,7,
177,CT-100,Local,STD,,,,Caliber,STD,Caliber,Local,STD,
178,CT-100,Local,1,,,,Caliber,1,Caliber,Local,1,
179,CT-100,Local,2,,,,Caliber,2,Caliber,Local,2,
180,CT-100,Local,3,,,,Caliber,3,Caliber,Local,3,
181,CT-100,Local,4,,,,Caliber,4,Caliber,Local,4,
182,CT-100,Local,5,,,,Caliber,5,Caliber,Local,5,
183,CT-100,Local,6,,,,Caliber,6,Caliber,Local,6,
184,CT-100,Local,7,,,,Caliber,7,Caliber,Local,7,
185,CT-100,NRB,STD,,,,Caliber,STD,Caliber,NRB,STD,
186,CT-100,NRB,1,,,,Caliber,1,Caliber,NRB,1,
187,CT-100,NRB,2,,,,Caliber,2,Caliber,NRB,2,
188,CT-100,NRB,3,,,,Caliber,3,Caliber,NRB,3,
189,CT-100,NRB,4,,,,Caliber,4,Caliber,NRB,4,
190,CT-100,NRB,5,,,,Caliber,5,Caliber,NRB,5,
191,CT-100,NRB,6,,,,Caliber,6,Caliber,NRB,6,
192,CT-100,NRB,7,,,,Caliber,7,Caliber,NRB,7,
193,Duro,Local,STD,,,,Duro,STD,Caliber,Local,STD,
194,Duro,Local,1,,,,Duro,1,Caliber,Local,1,
195,Duro,Local,2,,,,Duro,2,Caliber,Local,2,
196,Duro,Local,3,,,,Duro,3,Caliber,Local,3,
197,Duro,Local,4,,,,Duro,4,Caliber,Local,4,
198,Duro,Local,5,,,,Duro,5,Caliber,Local,5,
199,Duro,Local,6,,,,Duro,6,Caliber,Local,6,
200,Duro,Local,7,,,,Duro,7,Caliber,Local,7,
201,Duro,NRB,STD,,,,Duro,STD,Caliber,NRB,STD,
202,Duro,NRB,1,,,,Duro,1,Caliber,NRB,1,
203,Duro,NRB,2,,,,Duro,2,Caliber,NRB,2,
204,Duro,NRB,3,,,,Duro,3,Caliber,NRB,3,
205,Duro,NRB,4,,,,Duro,4,Caliber,NRB,4,
206,Duro,NRB,5,,,,Duro,5,Caliber,NRB,5,
207,Duro,NRB,6,,,,Duro,6,Caliber,NRB,6,
208,Duro,NRB,7,,,,Duro,7,Caliber,NRB,7,
209,Super Splendor New,Local,STD,,,,Twister,STD,Caliber,Local,STD,
210,Super Splendor New,Local,1,,,,Twister,1,Caliber,Local,1,
211,Super Splendor New,Local,2,,,,Twister,2,Caliber,Local,2,
212,Super Splendor New,Local,3,,,,Twister,3,Caliber,Local,3,
213,Super Splendor New,Local,4,,,,Twister,4,Caliber,Local,4,
214,Super Splendor New,Local,5,,,,Twister,5,Caliber,Local,5,
215,Super Splendor New,Local,6,,,,Twister,6,Caliber,Local,6,
216,Super Splendor New,Local,7,,,,Twister,7,Caliber,Local,7,
217,Super Splendor New,NRB,STD,,,,Twister,STD,Caliber,NRB,STD,
218,Super Splendor New,NRB,1,,,,Twister,1,Caliber,NRB,1,
219,Super Splendor New,NRB,2,,,,Twister,2,Caliber,NRB,2,
220,Super Splendor New,NRB,3,,,,Twister,3,Caliber,NRB,3,
221,Super Splendor New,NRB,4,,,,Twister,4,Caliber,NRB,4,
222,Super Splendor New,NRB,5,,,,Twister,5,Caliber,NRB,5,
223,Super Splendor New,NRB,6,,,,Twister,6,Caliber,NRB,6,
224,Super Splendor New,NRB,7,,,,Twister,7,Caliber,NRB,7,
225,Victor GL,Local,STD,,,,Victor,STD,Caliber,Local,STD,
226,Victor GL,Local,1,,,,Victor,1,Caliber,Local,1,
227,Victor GL,Local,2,,,,Victor,2,Caliber,Local,2,
228,Victor GL,Local,3,,,,Victor,3,Caliber,Local,3,
229,Victor GL,Local,4,,,,Victor,4,Caliber,Local,4,
230,Victor GL,Local,5,,,,Victor,5,Caliber,Local,5,
231,Victor GL,Local,6,,,,Victor,6,Caliber,Local,6,
232,Victor GL,Local,7,,,,Victor,7,Caliber,Local,7,
233,Victor GL,NRB,STD,,,,Victor,STD,Caliber,NRB,STD,
234,Victor GL,NRB,1,,,,Victor,1,Caliber,NRB,1,
235,Victor GL,NRB,2,,,,Victor,2,Caliber,NRB,2,
236,Victor GL,NRB,3,,,,Victor,3,Caliber,NRB,3,
237,Victor GL,NRB,4,,,,Victor,4,Caliber,NRB,4,
238,Victor GL,NRB,5,,,,Victor,5,Caliber,NRB,5,
239,Victor GL,NRB,6,,,,Victor,6,Caliber,NRB,6,
240,Victor GL,NRB,7,,,,Victor,7,Caliber,NRB,7,
241,Star Sport,Local,STD,,,,Victor,STD,Caliber,Local,STD,
242,Star Sport,Local,1,,,,Victor,1,Caliber,Local,1,
243,Star Sport,Local,2,,,,Victor,2,Caliber,Local,2,
244,Star Sport,Local,3,,,,Victor,3,Caliber,Local,3,
245,Star Sport,Local,4,,,,Victor,4,Caliber,Local,4,
246,Star Sport,Local,5,,,,Victor,5,Caliber,Local,5,
247,Star Sport,Local,6,,,,Victor,6,Caliber,Local,6,
248,Star Sport,Local,7,,,,Victor,7,Caliber,Local,7,
249,Star Sport,NRB,STD,,,,Victor,STD,Caliber,NRB,STD,
250,Star Sport,NRB,1,,,,Victor,1,Caliber,NRB,1,
251,Star Sport,NRB,2,,,,Victor,2,Caliber,NRB,2,
252,Star Sport,NRB,3,,,,Victor,3,Caliber,NRB,3,
253,Star Sport,NRB,4,,,,Victor,4,Caliber,NRB,4,
254,Star Sport,NRB,5,,,,Victor,5,Caliber,NRB,5,
255,Star Sport,NRB,6,,,,Victor,6,Caliber,NRB,6,
256,Star Sport,NRB,7,,,,Victor,7,Caliber,NRB,7,
257,Star Sport ++,Local,STD,,,,Victor,STD,Caliber,Local,STD,
258,Star Sport ++,Local,1,,,,Victor,1,Caliber,Local,1,
259,Star Sport ++,Local,2,,,,Victor,2,Caliber,Local,2,
260,Star Sport ++,Local,3,,,,Victor,3,Caliber,Local,3,
261,Star Sport ++,Local,4,,,,Victor,4,Caliber,Local,4,
262,Star Sport ++,Local,5,,,,Victor,5,Caliber,Local,5,
263,Star Sport ++,Local,6,,,,Victor,6,Caliber,Local,6,
264,Star Sport ++,Local,7,,,,Victor,7,Caliber,Local,7,
265,Star Sport ++,NRB,STD,,,,Victor,STD,Caliber,NRB,STD,
266,Star Sport ++,NRB,1,,,,Victor,1,Caliber,NRB,1,
267,Star Sport ++,NRB,2,,,,Victor,2,Caliber,NRB,2,
268,Star Sport ++,NRB,3,,,,Victor,3,Caliber,NRB,3,
269,Star Sport ++,NRB,4,,,,Victor,4,Caliber,NRB,4,
270,Star Sport ++,NRB,5,,,,Victor,5,Caliber,NRB,5,
271,Star Sport ++,NRB,6,,,,Victor,6,Caliber,NRB,6,
272,Star Sport ++,NRB,7,,,,Victor,7,Caliber,NRB,7,
273,Star City ++,Local,STD,,,,Victor,STD,Caliber,Local,STD,
274,Star City ++,Local,1,,,,Victor,1,Caliber,Local,1,
275,Star City ++,Local,2,,,,Victor,2,Caliber,Local,2,
276,Star City ++,Local,3,,,,Victor,3,Caliber,Local,3,
277,Star City ++,Local,4,,,,Victor,4,Caliber,Local,4,
278,Star City ++,Local,5,,,,Victor,5,Caliber,Local,5,
279,Star City ++,Local,6,,,,Victor,6,Caliber,Local,6,
280,Star City ++,Local,7,,,,Victor,7,Caliber,Local,7,
281,Star City ++,NRB,STD,,,,Victor,STD,Caliber,NRB,STD,
282,Star City ++,NRB,1,,,,Victor,1,Caliber,NRB,1,
283,Star City ++,NRB,2,,,,Victor,2,Caliber,NRB,2,
284,Star City ++,NRB,3,,,,Victor,3,Caliber,NRB,3,
285,Star City ++,NRB,4,,,,Victor,4,Caliber,NRB,4,
286,Star City ++,NRB,5,,,,Victor,5,Caliber,NRB,5,
287,Star City ++,NRB,6,,,,Victor,6,Caliber,NRB,6,
288,Star City ++,NRB,7,,,,Victor,7,Caliber,NRB,7,
289,Wego / Jupiter,Local,STD,,,,Wego,STD,Caliber,Local,STD,
290,Wego / Jupiter,Local,1,,,,Wego,1,Caliber,Local,1,
291,Wego / Jupiter,Local,2,,,,Wego,2,Caliber,Local,2,
292,Wego / Jupiter,Local,3,,,,Wego,3,Caliber,Local,3,
293,Wego / Jupiter,Local,4,,,,Wego,4,Caliber,Local,4,
294,Wego / Jupiter,Local,5,,,,Wego,5,Caliber,Local,5,
295,Wego / Jupiter,Local,6,,,,Wego,6,Caliber,Local,6,
296,Wego / Jupiter,Local,7,,,,Wego,7,Caliber,Local,7,
297,Wego / Jupiter,NRB,STD,,,,Wego,STD,Caliber,NRB,STD,
